60	30
120	30
180	30
240	30
300	30
360	30
420	30
480	30
540	30
600	30
660	30
720	30
780	30
840	30
900	30
960	30
1020	25
1080	25
1140	25
1200	25
1260	20
1320	20
1380	20
1440	20
1500	20
1560	15
1620	15
1680	15
1740	15
1800	15
1860	15
1920	15
1980	15
2040	12
2100	12
2160	12
2220	12
2280	12
2340	10
2400	10
2460	10
2520	10
2580	10
2640	10
2700	10
2760	8
2820	8
2880	8
2940	8
3000	8
3060	8
3120	8
3180	8
3240	8
3300	8
3360	7
3420	7
3480	7
3540	7
3600	7	
3660	7
3720	7
3780	7
3840	7
3900	7
3960	6
4020	6
4080	6
4140	6
4200	6
4260	5.4
4320	5.4
4380	5.4
4440	5.4
4500	5.4
4560	5.4
4620	5.4
4680	5
4740	5
4800	5
4860	5
4920	5
4980	5
5040	5
5100	5
5160	5
5220	5
5280	5
5340	5
5400	5
5460	4.4
5520	4.4
5580	4.4
5640	4.4
5700	4.4
5760	4.4
5820	4.4
5880	4.4
5940	4.4
6000	4.4	
6060	4.3
6120	4.3
6180	4.3
6240	4.3
6300	4.3
6360	4.1
6420	4.1
6480	4.1
6540	4.1
6600	4.1
6660	4.1
6720	4
6780	4
6840	4	
6900	4
6960	4
7020	4
7080	4
7140	4
7200	3.1
7260	3.1
7320	3.1
7380	3.1
7440	3.1
7500	3.1
7560	3.1
7620	3.1
7680	3.1
7740	3.1
7800	3.1
7860	3.1
7920	3.1
7980	3.1
8040	3.1
8100	3.1
