300	18
560	20
980	25
1020	30
1340	35
1680	40
1920	45
2080	50
2300	55
2340	60
2520	65
2700	70
2840	75
2980	80
3120	85
3200	90
3360	95
3540	100
3680	105
3780	110
3800	115
3880	120
4000	125
4220	130
4420	135
4540	140
4580	145
4760	150
4940	155
5100	160
5260	165
5420	170
5460	175
5580	180
5720	185
5920	190
6120	195
6160	200
6340	205
6520	210
6720	215
6900	220
7100	225
7120	230
7320	235
7520	240
7700	245
7900	250
8120	255
8160	260
8360	265
8560	270
8760	275
8980	280
9160	285
9220	290
9400	295
9600	300
9800	305
10000	310
10020	315
10220	320
10440	325
10640	330
10820	335
11020	340
11060	345
11240	350
11460	355
11660	360
11880	365
12080	370
12120	375
12360	380
12600	385
12900	390
